smpl_date,Site,plot_code,d_chamber,chamber_names,air_temp_c,atmp_Kpa,soil_temp_c,ave_pH,flooded_chamber,start_date_time,CH4_finalflux_mgC_per_hr_m2,Final_CH4_flux_category,CO2_finalflux_mgC_per_hr_m2,Final_CO2_flux_category
2023-05-05,QUI,QUI-02,12-A1,QUI-02_12_23_1,26.4,101.01,25.8,4.44,Yes,2023-05-05T03:31:19Z,3.498706452118332,Linear_field,28.362240810367503,Exponential_field
2023-05-05,QUI,QUI-02,12-A2,QUI-02_12_23_2,26.4,101.01,25.8,4.44,Yes,2023-05-05T03:37:39Z,3.5018120104889134,Linear_field,25.403222232254432,Linear_field
2023-05-05,QUI,QUI-02,12-B1,QUI-02_12_24_1,26.4,101.01,26,3.96,Yes,2023-05-05T03:44:39Z,4.477531650717857,Linear_field,56.444568180346415,Linear_field
2023-05-05,QUI,QUI-02,12-B2,QUI-02_12_24_2,26.4,101.01,26,3.96,Yes,2023-05-05T03:51:39Z,4.957449214861747,Linear_field,57.0059865314935,Linear_field
2023-05-05,QUI,QUI-02,10-A1,QUI-02_10_21_1,27.5,100.83,25.7,3.88,Yes,2023-05-05T04:06:19Z,2.9274008432941154,Linear_field,32.8670280636048,Linear_field
2023-05-05,QUI,QUI-02,10-A2,QUI-02_10_21_2,27.5,100.83,25.7,3.88,Yes,2023-05-05T04:12:59Z,3.1986267172419853,Linear_field,33.60116578418323,Linear_field
2023-05-05,QUI,QUI-02,10-B1,QUI-02_10_22_1,27.5,100.83,25.7,3.38,Yes,2023-05-05T04:22:00Z,3.051189513326635,Linear_field,28.546781604718284,Linear_field
2023-05-05,QUI,QUI-02,10-B2,QUI-02_10_22_2,27.5,100.83,25.7,3.38,Yes,2023-05-05T04:29:00Z,3.6247612025812175,Linear_field,30.008279900412962,Linear_field
2023-05-05,QUI,QUI-02,5-A1,QUI-02_5_15_1,28.2,101.2,26.1,4.14,No,2023-05-05T04:45:59Z,10.524822328585167,Linear_field,270.4053140499752,Linear_field
2023-05-05,QUI,QUI-02,5-A2,QUI-02_5_15_2,28.2,101.2,26.1,4.14,No,2023-05-05T04:52:39Z,10.37773064506096,Linear_field,267.79812073422937,Linear_field
2023-05-05,QUI,QUI-02,5-B1,QUI-02_5_16_1,28.2,101.2,26,3.72,Possibly,2023-05-05T05:08:19Z,0.2382044735013633,Linear_field,15.236908367416637,Exponential_field
2023-05-05,QUI,QUI-02,5-B2,QUI-02_5_16_2,28.2,101.2,26,3.72,Possibly,2023-05-05T05:17:00Z,0.2499134293547129,Linear_field,14.830049757447293,Linear_field
2023-05-05,QUI,QUI-02,6-A1,QUI-02_6_17_1,27.8,100.67,25.9,3.86,Yes,2023-05-05T05:29:59Z,6.2905128449975996,Linear_field,38.23695289668267,Linear_field
2023-05-05,QUI,QUI-02,6-A2,QUI-02_6_17_2,27.8,100.67,25.9,3.86,Yes,2023-05-05T05:36:39Z,6.722048546973616,Linear_field,36.816701236895206,Linear_field
2023-05-05,QUI,QUI-02,6-B1,QUI-02_6_18_1,27.8,100.67,26,4.14,Yes,2023-05-05T05:49:59Z,9.27987387426991,Exponential_field,34.49692054724902,Linear_field
2023-05-05,QUI,QUI-02,6-B2,QUI-02_6_18_2,27.8,100.67,26,4.14,Yes,2023-05-05T05:57:00Z,3.526438323931365,Linear_field,32.634344957192596,Linear_field
2023-05-05,QUI,QUI-02,15-A1,QUI-02_15_27_1,29.1,100.65,26.1,4.48,Yes,2023-05-05T06:11:19Z,1.8602903367927373,Linear_field,26.44265108197843,Exponential_field
2023-05-05,QUI,QUI-02,15-A2,QUI-02_15_27_2,29.1,100.65,26.1,4.48,Yes,2023-05-05T06:17:39Z,2.5978264701014377,Linear_field,29.695100645714064,Exponential_field
2023-05-05,QUI,QUI-02,15-B1,QUI-02_15_28_1,29.1,100.65,26.1,4.38,Yes,2023-05-05T06:25:59Z,15.726471411553474,Exponential_field,36.46689166218577,Exponential_field
2023-05-05,QUI,QUI-02,15-B2,QUI-02_15_28_2,29.1,100.65,26.1,4.38,Yes,2023-05-05T06:32:39Z,4.710024244477811,Exponential_field,31.112817225494915,Linear_field
2023-05-05,QUI,QUI-02,7-A1,QUI-02_7_19_1,28.8,100.3,26.1,4.26,Possibly,2023-05-05T06:47:59Z,2.8094420886459472,Linear_field,40.032863421504146,Linear_field
2023-05-05,QUI,QUI-02,7-A2,QUI-02_7_19_2,28.8,100.3,26.1,4.26,Possibly,2023-05-05T06:54:19Z,6.156239248199592,Linear_field,35.65982052784956,Linear_field
2023-05-05,QUI,QUI-02,7-B1,QUI-02_7_20_1,28.8,100.3,26.2,3.92,Possibly,2023-05-05T07:01:19Z,8.39137522963266,Linear_field,115.29665420694619,Linear_field
2023-05-05,QUI,QUI-02,7-B2,QUI-02_7_20_2,28.8,100.3,26.2,3.92,Possibly,2023-05-05T07:07:59Z,11.69750628663755,Linear_field,112.03432169423901,Linear_field
2023-05-05,QUI,QUI-02,13-A1,QUI-02_13_25_1,29.6,100.47,26,4.36,Yes,2023-05-05T07:20:40Z,6.899999026958955,Linear_field,38.328469587160804,Linear_field
2023-05-05,QUI,QUI-02,13-A2,QUI-02_13_25_2,29.6,100.47,26,4.36,Yes,2023-05-05T07:29:59Z,7.132299005923041,Linear_field,39.56386041421857,Linear_field
2023-05-05,QUI,QUI-02,13-B1,QUI-02_13_26_1,29.6,100.47,26.1,4.38,Possibly,2023-05-05T07:36:39Z,NA,Exclude - rsq below limit of 0.85,44.18105785756064,Linear_field
2023-05-05,QUI,QUI-02,13-B2,QUI-02_13_26_2,29.6,100.47,26.1,4.38,Possibly,2023-05-05T07:43:19Z,7.826074392855163,Linear_field,46.31281245921851,Linear_field
